"Cash & cash equivalents","5,595,000,000","8,669,000,000","3,804,000,000","6,938,000,000","9,610,000,000","5,505,000,000","6,076,000,000",
"Short-term investments","90,931,000,000","77,040,000,000","73,218,000,000","56,102,000,000","43,162,000,000","31,283,000,000","25,371,000,000",
"Total cash, cash equivalents, & short-term investments","96,526,000,000","85,709,000,000","77,022,000,000","63,040,000,000","52,772,000,000","36,788,000,000","31,447,000,000",
"Accounts receivable, gross","18,243,000,000","19,845,000,000","17,822,000,000","16,169,000,000","15,320,000,000","13,389,000,000","11,643,000,000",
"Allowance for doubtful accounts","335,000,000","301,000,000","336,000,000","389,000,000","333,000,000","375,000,000","451,000,000",
"Accounts receivable, net","17,908,000,000","19,544,000,000","17,486,000,000","15,780,000,000","14,987,000,000","13,014,000,000","11,192,000,000",
"Raw materials","1,100,000,000","944,000,000","328,000,000","210,000,000","232,000,000","172,000,000","170,000,000",
"Work in process","202,000,000","266,000,000","201,000,000","96,000,000","56,000,000","16,000,000","45,000,000",
"Finished goods","1,600,000,000","1,450,000,000","1,409,000,000","831,000,000","1,084,000,000","552,000,000","502,000,000",
"Inventories","2,902,000,000","2,660,000,000","1,938,000,000","1,137,000,000","1,372,000,000","740,000,000","717,000,000",
"Deferred income taxes","1,915,000,000","1,941,000,000","1,632,000,000","2,035,000,000","2,467,000,000","2,184,000,000","2,213,000,000",
"Other current assets","5,461,000,000","4,392,000,000","3,388,000,000","3,092,000,000","3,320,000,000","2,950,000,000","3,711,000,000",
"Total current assets","124,712,000,000","114,246,000,000","101,466,000,000","85,084,000,000","74,918,000,000","55,676,000,000","49,280,000,000",
"Land","769,000,000","541,000,000","525,000,000","528,000,000","533,000,000","526,000,000","526,000,000",
"Buildings & improvements","10,800,000,000","8,867,000,000","7,326,000,000","6,768,000,000","6,521,000,000","6,087,000,000","5,886,000,000",
"Leasehold improvments","3,577,000,000","3,560,000,000","2,946,000,000","2,550,000,000","2,345,000,000","2,100,000,000","1,938,000,000",
"Computer equipment & software","13,612,000,000","11,430,000,000","9,242,000,000","7,298,000,000","6,601,000,000","5,673,000,000","4,989,000,000",
"Furniture & equipment","3,579,000,000","3,406,000,000","2,465,000,000","2,087,000,000","1,991,000,000","1,873,000,000","1,743,000,000",
"Total property & equipment, at cost","32,337,000,000","27,804,000,000","22,504,000,000","19,231,000,000","17,991,000,000","16,259,000,000","15,082,000,000",
"Accumulated depreciation - property & equipment","17,606,000,000","14,793,000,000","12,513,000,000","10,962,000,000","9,829,000,000","8,629,000,000","7,547,000,000",
"Property & equipment, net","14,731,000,000","13,011,000,000","9,991,000,000","8,269,000,000","8,162,000,000","7,630,000,000","7,535,000,000",
"Equity & other investments","12,053,000,000","14,597,000,000","10,844,000,000","9,776,000,000","10,865,000,000","7,754,000,000","4,933,000,000",
